Location,Acamptocladius,Abiskomyia,Ablabesmyia type,Brilla,Chaetocladius B,Chaetocladius piger,Chaetocladius dentiforceps,Chaetocladius undiff,Chaetocladius A,Chironominae early instar,Chironomus anthracinus type,Chironomus plumosus type,Chironomus undiff,Cladopelma,Cladotanytarsus mancus,Cladotanytarsus sp.,Clinotanypus,Corynocera ambigua,Corynocera oliveri type,Constempellina Thienemanniola,Corynoneura coronata,Corynoneura arctica,Corynoneura carriana-type,Corynoneura Thienemanniella undif.,Corynoneura edwardsii ,Corynoneura lobata,Corynoneura type A,Cricotopus laricomalis-type,Cricotopus bicinctus-type,Cricotopus cylindraceus-type,Cricotopus cylindraceus-type2,Cricotopus intersectus ,Cricotopus sylvestris,Cricotopus obnixus-type,Cricotopus tremulus group,Cricotopus trifascia,Cricotopus type C,Cricotopus type P,Cryptochironomus,Cryptotendipes,Demicryptochironomus,Derotanypus,Diamesa undiff,Diamesa aberra,Diamesa bertrami ,Diamesa z,Dicrotendipes nervosus-type,Dicrotendipes notatus-type,Diplocladius Trissocladius,Doithrix,Einfeldia pagana,Einfeldia natchitocheae-type,Endochironomus albipennis  ,Endochironomus impar-type,Endochironomus tendens-type,Eukiefferiella claripennis type,Eukiefferiella fittkaui,Eukiefferiella devonica-type,Eukiefferiella undiff,Geoorthocladius,Glyptotendipes barbipes-type,Glyptotendipes pallens type,Glyptotendipes severini-type,Glyptotendipes severini-type,Glyptotendipes type B (Epler),Glyptotendipes (Caulochironomus) Epler,Guttipelopia,Heterotanytarsus,Heterotrissocladius grimshawii,Heterotrissocladius maeaeri type 1,Heterotrissocladius maeaeri type 2,Heterotrissocladius marcidus,Heterotrissocladius subpilosus,Heterotrissocladius undiff,Hudsonimyia type,Hydrobaenus confirmis,Hydrobaenus johannseni,Hydrobaenus unknown,Hyporhygma quadripunctatum,Labrundinia,Lasiodiamesa,Limnophyes / Paralimnophyes,Lauterborniella,Macropelopia,Macropelopini undiff,Mesocricotopus,Metriocnemus eurynotis type,Metriocnemus terrester,Metriocnemus undiff,Microchironomus,Micropsectra contracta-iceland,Micropsectra contracta-type2,Micropsectra insignilobus type,Micropsectra pallidula,Micropsectra radialis type,Micropsectra type A,Micropsectra undiff,Microtendipes,Monodiamesa,Nanocladius branchicolus type,Nanocladius rectinervis-type,Neostempellina,Nilothauma,Oliveridia,Orthocladius baffin unknown type A,Orthocladius consobrinus gr,Orthocladius oliveri-type,Orthocladius trigonolabis type,Orthocladius type I gr,Orthocladius type S,Orthocladius rivulorum,Orthocladius pogonocladius,Pagastiella,Parochlus,Parachaetocladius,Paramerina,Parachironomus chaetoalus complex,Parachironomus varus-type,Paracladius,Paracladopelma,Paralauterborniella,Paracricotopus,Parakiefferiella nigra,Parakiefferiella sp B,Parakiefferiella triquetra,Parakiefferiella type A,Paralauterborniella,Paraphaenocladius Parametriocnemus,Paratanytarsus austriacus type,Paratanytarsus penicillatus-type,Paratanytarsus sp. A,Paratanytarsus undiff,Paratendipes,Pentaneurini undiff,Phaenopscetra,Polypedilum nubifer,Polypedilum nubeculosum-type,Polypedilum bergi (Epler),Polypedilum sordens-type,Polypedilum convictum-type (or fallax- Epler),Procladius,Prosilocerus-type N,Protanypus,Prodiamesa,Psectrocladius (Mono) calcaratus,Psectrocladius allopsectrocladius,Psectrocladius septentrionalis-type,Psectrocladius meso barbatipes,Psectrocladius nr. Barmimanus,Psectrocladius barmimanus,Psectrocladius sordidellus-type,Psectrocladius psilopterus,Psectrocladius undiff.,Pseudochironomus,Pseudodiamesa,Psilometricnemus,Pseudorthocladius,Pseudosmittia,Rheocricotopus,Rheotanytarsus,Sergentia coracina-type,Smittia type,Smittia type 2,Stempellina,Stempellinella ,Stenochironomus,Stictochironomus undiff,Stictochironomus type B,Stictochironomus type R,Stilocladius,Symposiocladius,Synorthcladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus gracilentus,Tanytarsus lactescens-type,Tanytarsus mendax type,Tanytarsus glabrescens-type,Tanytarsus pallidicornis type,Tanytarsus nemorosus,Thienemanniella ,Thienemannimyia type,Tribelos ,Trichotanypus,Tvetenia unknown type 1,Xenochironomus,Zalutschia lingulata pauca,Zalutschia sp. C,Zalutschia unknown,Zalutschia zalutschicola,Zavreliella,Zavrelimyia type,Chaoborus trivitattus,Chaoborus Sayomyia,Chaoborus undiff,Chaoborus flavicans,No ID,Tanypodinae undif.,Tanytarsini no spur,Tanytarsini undiff,Cricotopus Orthocladius undiff
CI08,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.5,2,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
CI14,0,3.5,0,0,1.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,3,20.5,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,1.5,0
CI15,0,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,44.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,0
CI16,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,21,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,2.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1,1
CI17,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,20,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.5
CI18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,64.5,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,4.5
CI22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CI23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,4,0,0,0.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,1
CI25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,4.5,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
CI26b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,14,0.5
CI27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0
CI31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,6,0,0,0,0,0,0,0,0,2.5,0,0,0,0,6,16.5,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,6,7.5
